actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK07_CON35	TASK04_CON72	0	33	21	svi	spearman	posneg	5
TASK07_CON35	TASK04_CON73	0	33	22	svi	spearman	posneg	5
TASK07_CON35	TASK05_CON13	67	33	23	svi	spearman	posneg	5
TASK07_CON35	TASK05_CON14	294	33	24	svi	spearman	posneg	5
TASK07_CON35	TASK05_CON15	0	33	25	svi	spearman	posneg	5
TASK07_CON35	TASK06_CON01	0	33	26	svi	spearman	posneg	5
TASK07_CON35	TASK06_CON02	0	33	27	svi	spearman	posneg	5
TASK07_CON35	TASK06_CON06	0	33	28	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON31	0	33	29	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON32	0	33	30	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON33	0	33	31	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON34	0	33	32	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON35	0	33	33	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON36	0	33	34	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON37	0	33	35	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON38	0	33	36	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON39	139	33	37	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON40	0	33	38	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON41	0	33	39	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON45	0	33	40	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON46	0	33	41	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON47	0	33	42	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON48	0	33	43	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON49	0	33	44	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON50	0	33	45	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON51	0	33	46	svi	spearman	posneg	5
TASK07_CON35	TASK07_CON52	0	33	47	svi	spearman	posneg	5
TASK07_CON36	TASK01_CON07	0	34	1	svi	spearman	posneg	5
TASK07_CON36	TASK01_CON08	0	34	2	svi	spearman	posneg	5
TASK07_CON36	TASK01_CON09	0	34	3	svi	spearman	posneg	5
TASK07_CON36	TASK02_CON25	0	34	4	svi	spearman	posneg	5
TASK07_CON36	TASK02_CON26	0	34	5	svi	spearman	posneg	5
TASK07_CON36	TASK02_CON27	0	34	6	svi	spearman	posneg	5
TASK07_CON36	TASK03_CON19	0	34	7	svi	spearman	posneg	5
TASK07_CON36	TASK03_CON20	0	34	8	svi	spearman	posneg	5
TASK07_CON36	TASK03_CON22	0	34	9	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON61	0	34	10	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON62	0	34	11	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON63	0	34	12	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON64	0	34	13	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON65	0	34	14	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON66	0	34	15	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON67	0	34	16	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON68	0	34	17	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON69	0	34	18	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON70	0	34	19	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON71	0	34	20	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON72	0	34	21	svi	spearman	posneg	5
TASK07_CON36	TASK04_CON73	0	34	22	svi	spearman	posneg	5
TASK07_CON36	TASK05_CON13	36	34	23	svi	spearman	posneg	5
TASK07_CON36	TASK05_CON14	69	34	24	svi	spearman	posneg	5
TASK07_CON36	TASK05_CON15	0	34	25	svi	spearman	posneg	5
TASK07_CON36	TASK06_CON01	0	34	26	svi	spearman	posneg	5
TASK07_CON36	TASK06_CON02	0	34	27	svi	spearman	posneg	5
TASK07_CON36	TASK06_CON06	0	34	28	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON31	0	34	29	svi	spearman	posneg	5
TASK07_CON36	TASK07_CON32	0	34	30	svi	spearman	posneg	5
