actual	predicted	count	x	y	strategy	metric	direction	threshold
TASK02_CON25	TASK04_CON71	11	4	20	cca	spearman	posneg	9
TASK02_CON25	TASK04_CON72	39	4	21	cca	spearman	posneg	9
TASK02_CON25	TASK04_CON73	1	4	22	cca	spearman	posneg	9
TASK02_CON25	TASK05_CON13	0	4	23	cca	spearman	posneg	9
TASK02_CON25	TASK05_CON14	4	4	24	cca	spearman	posneg	9
TASK02_CON25	TASK05_CON15	0	4	25	cca	spearman	posneg	9
TASK02_CON25	TASK06_CON01	19	4	26	cca	spearman	posneg	9
TASK02_CON25	TASK06_CON02	0	4	27	cca	spearman	posneg	9
TASK02_CON25	TASK06_CON06	0	4	28	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON31	20	4	29	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON32	17	4	30	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON33	5	4	31	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON34	25	4	32	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON35	20	4	33	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON36	14	4	34	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON37	10	4	35	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON38	13	4	36	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON39	3	4	37	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON40	2	4	38	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON41	0	4	39	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON45	7	4	40	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON46	9	4	41	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON47	3	4	42	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON48	7	4	43	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON49	0	4	44	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON50	14	4	45	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON51	11	4	46	cca	spearman	posneg	9
TASK02_CON25	TASK07_CON52	0	4	47	cca	spearman	posneg	9
TASK02_CON26	TASK01_CON07	16	5	1	cca	spearman	posneg	9
TASK02_CON26	TASK01_CON08	13	5	2	cca	spearman	posneg	9
TASK02_CON26	TASK01_CON09	19	5	3	cca	spearman	posneg	9
TASK02_CON26	TASK02_CON25	27	5	4	cca	spearman	posneg	9
TASK02_CON26	TASK02_CON26	16	5	5	cca	spearman	posneg	9
TASK02_CON26	TASK02_CON27	0	5	6	cca	spearman	posneg	9
TASK02_CON26	TASK03_CON19	5	5	7	cca	spearman	posneg	9
TASK02_CON26	TASK03_CON20	4	5	8	cca	spearman	posneg	9
TASK02_CON26	TASK03_CON22	14	5	9	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON61	27	5	10	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON62	19	5	11	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON63	13	5	12	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON64	11	5	13	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON65	15	5	14	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON66	5	5	15	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON67	3	5	16	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON68	18	5	17	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON69	10	5	18	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON70	8	5	19	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON71	14	5	20	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON72	41	5	21	cca	spearman	posneg	9
TASK02_CON26	TASK04_CON73	1	5	22	cca	spearman	posneg	9
TASK02_CON26	TASK05_CON13	0	5	23	cca	spearman	posneg	9
TASK02_CON26	TASK05_CON14	0	5	24	cca	spearman	posneg	9
TASK02_CON26	TASK05_CON15	0	5	25	cca	spearman	posneg	9
TASK02_CON26	TASK06_CON01	16	5	26	cca	spearman	posneg	9
TASK02_CON26	TASK06_CON02	3	5	27	cca	spearman	posneg	9
TASK02_CON26	TASK06_CON06	0	5	28	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON31	21	5	29	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON32	19	5	30	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON33	5	5	31	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON34	18	5	32	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON35	17	5	33	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON36	12	5	34	cca	spearman	posneg	9
TASK02_CON26	TASK07_CON37	9	5	35	cca	spearman	posneg	9
